"Tabela 839 - Área plantada, área colhida, quantidade produzida e rendimento médio de milho, 1ª e 2ª safras"
"Variável - Área plantada (Hectares)"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Ano x Produto das lavouras temporárias"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"2003";;;"2004";;;"2005";;;"2006";;;"2007";;;"2008";;;"2009";;;"2010";;;"2011";;;"2012";;;"2013";;;"2014";;;"2015";;;"2016";;;"2017";;;"2018";;;"2019";;;"2020"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra"
"2410256";"      Porto do Mangue";"180";"180";"-";"180";"180";"-";"100";"100";"-";"300";"300";"-";"200";"200";"-";"300";"300";"-";"500";"500";"-";"200";"200";"-";"400";"400";"-";"30";"30";"-";"15";"15";"-";"80";"80";"-";"80";"80";"-";"20";"20";"-";"194";"194";"-";"10";"10";"-";"74";"74";"-";"30";"30";"-"
"2412807";"      São Rafael";"180";"180";"-";"180";"180";"-";"80";"80";"-";"80";"80";"-";"60";"60";"-";"60";"60";"-";"80";"80";"-";"50";"50";"-";"100";"100";"-";"120";"120";"-";"4";"4";"-";"70";"70";"-";"80";"80";"-";"...";"...";"...";"156";"156";"-";"80";"80";"-";"250";"250";"-";"120";"120";"-"
"24005";"    Serra de São Miguel";"6900";"6900";"-";"7735";"7735";"-";"6940";"6940";"-";"7710";"7710";"-";"6141";"6141";"-";"7340";"7340";"-";"5810";"5810";"-";"5050";"5050";"-";"5330";"5330";"-";"4785";"4785";"-";"4710";"4710";"-";"4540";"4540";"-";"2962";"2962";"-";"2740";"2740";"-";"3627";"3627";"-";"4630";"4630";"-";"4032";"4032";"-";"4080";"4080";"-"
"2400406";"      Água Nova";"340";"340";"-";"255";"255";"-";"215";"215";"-";"280";"280";"-";"280";"280";"-";"280";"280";"-";"280";"280";"-";"170";"170";"-";"280";"280";"-";"280";"280";"-";"270";"270";"-";"240";"240";"-";"200";"200";"-";"250";"250";"-";"200";"200";"-";"180";"180";"-";"180";"180";"-";"190";"190";"-"
"2402907";"      Coronel João Pessoa";"800";"800";"-";"630";"630";"-";"470";"470";"-";"605";"605";"-";"650";"650";"-";"800";"800";"-";"800";"800";"-";"550";"550";"-";"600";"600";"-";"420";"420";"-";"400";"400";"-";"480";"480";"-";"400";"400";"-";"400";"400";"-";"400";"400";"-";"400";"400";"-";"400";"400";"-";"420";"420";"-"
"2403202";"      Doutor Severiano";"510";"510";"-";"1870";"1870";"-";"1875";"1875";"-";"1995";"1995";"-";"640";"640";"-";"700";"700";"-";"650";"650";"-";"400";"400";"-";"460";"460";"-";"460";"460";"-";"410";"410";"-";"580";"580";"-";"450";"450";"-";"450";"450";"-";"350";"350";"-";"350";"350";"-";"450";"450";"-";"460";"460";"-"
"2403301";"      Encanto";"350";"350";"-";"620";"620";"-";"415";"415";"-";"450";"450";"-";"391";"391";"-";"450";"450";"-";"400";"400";"-";"70";"70";"-";"420";"420";"-";"310";"310";"-";"360";"360";"-";"420";"420";"-";"20";"20";"-";"100";"100";"-";"202";"202";"-";"200";"200";"-";"250";"250";"-";"260";"260";"-"
"2407005";"      Luís Gomes";"560";"560";"-";"580";"580";"-";"515";"515";"-";"685";"685";"-";"540";"540";"-";"900";"900";"-";"650";"650";"-";"630";"630";"-";"620";"620";"-";"550";"550";"-";"435";"435";"-";"630";"630";"-";"150";"150";"-";"140";"140";"-";"195";"195";"-";"300";"300";"-";"400";"400";"-";"360";"360";"-"
"2407252";"      Major Sales";"390";"390";"-";"330";"330";"-";"310";"310";"-";"335";"335";"-";"500";"500";"-";"700";"700";"-";"280";"280";"-";"230";"230";"-";"320";"320";"-";"150";"150";"-";"260";"260";"-";"330";"330";"-";"70";"70";"-";"40";"40";"-";"450";"450";"-";"600";"600";"-";"212";"212";"-";"220";"220";"-"
"2410801";"      Riacho de Santana";"560";"560";"-";"410";"410";"-";"390";"390";"-";"410";"410";"-";"400";"400";"-";"640";"640";"-";"350";"350";"-";"180";"180";"-";"290";"290";"-";"195";"195";"-";"255";"255";"-";"460";"460";"-";"250";"250";"-";"210";"210";"-";"180";"180";"-";"300";"300";"-";"240";"240";"-";"250";"250";"-"
