"Tabela 839 - Área plantada, área colhida, quantidade produzida e rendimento médio de milho, 1ª e 2ª safras"
"Variável - Área plantada (Hectares)"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Ano x Produto das lavouras temporárias"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"2003";;;"2004";;;"2005";;;"2006";;;"2007";;;"2008";;;"2009";;;"2010";;;"2011";;;"2012";;;"2013";;;"2014";;;"2015";;;"2016";;;"2017";;;"2018";;;"2019";;;"2020"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra"
"2401206";"      Arês";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"2401404";"      Baía Formosa";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2402204";"      Canguaretama";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2403509";"      Espírito Santo";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2404200";"      Goianinha";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2407708";"      Montanhas";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2409803";"      Pedro Velho";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2413201";"      Senador Georgino Avelino";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2414209";"      Tibau do Sul";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"2415008";"      Vila Flor";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"-";"-";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-";"100,000";"100,000";"-"
"Fonte: IBGE - Produção Agrícola Municipal"

"Tabela 839 - Área plantada, área colhida, quantidade produzida e rendimento médio de milho, 1ª e 2ª safras"
"Variável - Quantidade produzida (Toneladas)"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Ano x Produto das lavouras temporárias"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"2003";;;"2004";;;"2005";;;"2006";;;"2007";;;"2008";;;"2009";;;"2010";;;"2011";;;"2012";;;"2013";;;"2014";;;"2015";;;"2016";;;"2017";;;"2018";;;"2019";;;"2020"
"Cód.";"UF, Mesorregião, Microrregião e Município, em ordem de código de Meso e Micro, e nome de Município - RN";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra";"Total";"Milho (em grão) - 1ª safra";"Milho (em grão) - 2ª safra"
"24";"Rio Grande do Norte";"69569";"69569";"-";"60570";"60570";"-";"23116";"23116";"-";"51647";"51647";"-";"28191";"28191";"-";"53771";"53771";"-";"42282";"42282";"-";"8119";"8119";"-";"47926";"47449";"477";"2489";"1941";"548";"11924";"11792";"132";"13167";"13167";"-";"4222";"4222";"-";"2943";"2943";"-";"4071";"4071";"-";"23934";"23934";"-";"30687";"30352";"335";"31252";"31252";"-"
"2401";"  Oeste Potiguar";"43342";"43342";"-";"27699";"27699";"-";"13513";"13513";"-";"37730";"37730";"-";"20902";"20902";"-";"30336";"30336";"-";"26140";"26140";"-";"2890";"2890";"-";"22871";"22813";"58";"2400";"1920";"480";"4109";"4109";"-";"8297";"8297";"-";"1069";"1069";"-";"555";"555";"-";"1495";"1495";"-";"12652";"12652";"-";"12815";"12491";"324";"14429";"14429";"-"
"24001";"    Mossoró";"10999";"10999";"-";"3116";"3116";"-";"2422";"2422";"-";"11961";"11961";"-";"4300";"4300";"-";"4086";"4086";"-";"4338";"4338";"-";"13";"13";"-";"4985";"4949";"36";"1203";"723";"480";"2097";"2097";"-";"984";"984";"-";"547";"547";"-";"84";"84";"-";"27";"27";"-";"1272";"1272";"-";"2764";"2764";"-";"2964";"2964";"-"
"2401107";"      Areia Branca";"381";"381";"-";"76";"76";"-";"30";"30";"-";"50";"50";"-";"12";"12";"-";"18";"18";"-";"13";"13";"-";"...";"...";"...";"330";"330";"-";"15";"15";"-";"35";"35";"-";"75";"75";"-";"4";"4";"-";"4";"4";"-";"6";"6";"-";"24";"24";"-";"32";"32";"-";"35";"35";"-"
"2401453";"      Baraúna";"5245";"5245";"-";"1748";"1748";"-";"1800";"1800";"-";"6400";"6400";"-";"2400";"2400";"-";"1800";"1800";"-";"2100";"2100";"-";"8";"8";"-";"744";"720";"24";"780";"300";"480";"1360";"1360";"-";"484";"484";"-";"100";"100";"-";"20";"20";"-";"4";"4";"-";"255";"255";"-";"1504";"1504";"-";"1554";"1554";"-"
"2404408";"      Grossos";"669";"669";"-";"90";"90";"-";"133";"133";"-";"441";"441";"-";"220";"220";"-";"8";"8";"-";"5";"5";"-";"...";"...";"...";"115";"115";"-";"25";"25";"-";"40";"40";"-";"-";"-";"-";"165";"165";"-";"8";"8";"-";"3";"3";"-";"100";"100";"-";"133";"133";"-";"136";"136";"-"
"2408003";"      Mossoró";"4485";"4485";"-";"1158";"1158";"-";"343";"343";"-";"4810";"4810";"-";"1500";"1500";"-";"2000";"2000";"-";"2000";"2000";"-";"5";"5";"-";"3672";"3660";"12";"358";"358";"-";"577";"577";"-";"350";"350";"-";"264";"264";"-";"40";"40";"-";"...";"...";"...";"655";"655";"-";"855";"855";"-";"990";"990";"-"
"2413359";"      Serra do Mel";"45";"45";"-";"5";"5";"-";"60";"60";"-";"120";"120";"-";"48";"48";"-";"120";"120";"-";"120";"120";"-";"0";"0";"-";"24";"24";"-";"12";"12";"-";"27";"27";"-";"42";"42";"-";"4";"4";"-";"6";"6";"-";"8";"8";"-";"182";"182";"-";"180";"180";"-";"181";"181";"-"
"2411056";"      Tibau";"174";"174";"-";"39";"39";"-";"56";"56";"-";"140";"140";"-";"120";"120";"-";"140";"140";"-";"100";"100";"-";"...";"...";"...";"100";"100";"-";"13";"13";"-";"58";"58";"-";"33";"33";"-";"10";"10";"-";"6";"6";"-";"6";"6";"-";"56";"56";"-";"60";"60";"-";"68";"68";"-"
"24002";"    Chapada do Apodi";"5858";"5858";"-";"3230";"3230";"-";"2077";"2077";"-";"4857";"4857";"-";"3901";"3901";"-";"4476";"4476";"-";"4187";"4187";"-";"3";"3";"-";"6491";"6480";"11";"479";"479";"-";"899";"899";"-";"991";"991";"-";"43";"43";"-";"256";"256";"-";"121";"121";"-";"2275";"2275";"-";"2424";"2424";"-";"2195";"2195";"-"
"2401008";"      Apodi";"3225";"3225";"-";"1980";"1980";"-";"916";"916";"-";"3081";"3081";"-";"3081";"3081";"-";"3600";"3600";"-";"3600";"3600";"-";"...";"...";"...";"5400";"5400";"-";"400";"400";"-";"399";"399";"-";"680";"680";"-";"-";"-";"-";"192";"192";"-";"36";"36";"-";"510";"510";"-";"501";"501";"-";"510";"510";"-"
"2402303";"      Caraúbas";"1670";"1670";"-";"720";"720";"-";"408";"408";"-";"480";"480";"-";"288";"288";"-";"306";"306";"-";"148";"148";"-";"...";"...";"...";"450";"450";"-";"40";"40";"-";"240";"240";"-";"80";"80";"-";"15";"15";"-";"17";"17";"-";"22";"22";"-";"350";"350";"-";"392";"392";"-";"450";"450";"-"
"2403707";"      Felipe Guerra";"233";"233";"-";"59";"59";"-";"53";"53";"-";"176";"176";"-";"84";"84";"-";"150";"150";"-";"159";"159";"-";"...";"...";"...";"150";"150";"-";"15";"15";"-";"37";"37";"-";"42";"42";"-";"-";"-";"-";"19";"19";"-";"3";"3";"-";"15";"15";"-";"31";"31";"-";"35";"35";"-"
"2404309";"      Governador Dix-Sept Rosado";"730";"730";"-";"471";"471";"-";"700";"700";"-";"1120";"1120";"-";"448";"448";"-";"420";"420";"-";"280";"280";"-";"3";"3";"-";"491";"480";"11";"24";"24";"-";"223";"223";"-";"189";"189";"-";"28";"28";"-";"28";"28";"-";"60";"60";"-";"1400";"1400";"-";"1500";"1500";"-";"1200";"1200";"-"
"24003";"    Médio Oeste";"2692";"2692";"-";"1002";"1002";"-";"354";"354";"-";"1148";"1148";"-";"640";"640";"-";"859";"859";"-";"570";"570";"-";"13";"13";"-";"1193";"1182";"11";"74";"74";"-";"151";"151";"-";"233";"233";"-";"36";"36";"-";"17";"17";"-";"59";"59";"-";"380";"380";"-";"724";"724";"-";"852";"852";"-"
"2401305";"      Augusto Severo";"1363";"1363";"-";"592";"592";"-";"202";"202";"-";"375";"375";"-";"170";"170";"-";"180";"180";"-";"54";"54";"-";"11";"11";"-";"251";"240";"11";"-";"-";"-";"4";"4";"-";"1";"1";"-";"6";"6";"-";"1";"1";"-";"1";"1";"-";"8";"8";"-";"50";"50";"-";"126";"126";"-"
"2405207";"      Janduís";"149";"149";"-";"28";"28";"-";"20";"20";"-";"99";"99";"-";"50";"50";"-";"40";"40";"-";"13";"13";"-";"...";"...";"...";"90";"90";"-";"9";"9";"-";"32";"32";"-";"96";"96";"-";"14";"14";"-";"4";"4";"-";"5";"5";"-";"27";"27";"-";"58";"58";"-";"80";"80";"-"
"2407609";"      Messias Targino";"268";"268";"-";"72";"72";"-";"26";"26";"-";"79";"79";"-";"32";"32";"-";"78";"78";"-";"26";"26";"-";"...";"...";"...";"50";"50";"-";"5";"5";"-";"45";"45";"-";"25";"25";"-";"8";"8";"-";"2";"2";"-";"6";"6";"-";"56";"56";"-";"65";"65";"-";"68";"68";"-"
"2408706";"      Paraú";"346";"346";"-";"29";"29";"-";"32";"32";"-";"35";"35";"-";"13";"13";"-";"21";"21";"-";"27";"27";"-";"0";"0";"-";"32";"32";"-";"-";"-";"-";"-";"-";"-";"4";"4";"-";"2";"2";"-";"1";"1";"-";"6";"6";"-";"1";"1";"-";"75";"75";"-";"48";"48";"-"
"2414456";"      Triunfo Potiguar";"206";"206";"-";"26";"26";"-";"38";"38";"-";"80";"80";"-";"39";"39";"-";"60";"60";"-";"60";"60";"-";"2";"2";"-";"50";"50";"-";"-";"-";"-";"18";"18";"-";"17";"17";"-";"-";"-";"-";"1";"1";"-";"9";"9";"-";"48";"48";"-";"36";"36";"-";"75";"75";"-"
"2414605";"      Upanema";"360";"360";"-";"255";"255";"-";"36";"36";"-";"480";"480";"-";"336";"336";"-";"480";"480";"-";"390";"390";"-";"...";"...";"...";"720";"720";"-";"60";"60";"-";"52";"52";"-";"90";"90";"-";"6";"6";"-";"8";"8";"-";"32";"32";"-";"240";"240";"-";"440";"440";"-";"455";"455";"-"
"24004";"    Vale do Açu";"4682";"4682";"-";"2421";"2421";"-";"554";"554";"-";"1141";"1141";"-";"497";"497";"-";"809";"809";"-";"796";"796";"-";"56";"56";"-";"1321";"1321";"-";"2";"2";"-";"88";"88";"-";"244";"244";"-";"19";"19";"-";"11";"11";"-";"243";"243";"-";"283";"283";"-";"975";"651";"324";"1122";"1122";"-"
"2400208";"      Açu";"400";"400";"-";"36";"36";"-";"135";"135";"-";"240";"240";"-";"80";"80";"-";"128";"128";"-";"189";"189";"-";"4";"4";"-";"330";"330";"-";"-";"-";"-";"30";"30";"-";"61";"61";"-";"5";"5";"-";"4";"4";"-";"21";"21";"-";"31";"31";"-";"176";"176";"-";"238";"238";"-"
"2400703";"      Alto do Rodrigues";"2000";"2000";"-";"1232";"1232";"-";"125";"125";"-";"100";"100";"-";"83";"83";"-";"58";"58";"-";"60";"60";"-";"6";"6";"-";"115";"115";"-";"-";"-";"-";"9";"9";"-";"24";"24";"-";"5";"5";"-";"-";"-";"-";"...";"...";"...";"14";"14";"-";"18";"18";"-";"70";"70";"-"
"2402501";"      Carnaubais";"240";"240";"-";"6";"6";"-";"90";"90";"-";"240";"240";"-";"100";"100";"-";"150";"150";"-";"147";"147";"-";"4";"4";"-";"168";"168";"-";"-";"-";"-";"28";"28";"-";"17";"17";"-";"2";"2";"-";"2";"2";"-";"15";"15";"-";"45";"45";"-";"447";"123";"324";"300";"300";"-"
"2404705";"      Ipanguaçu";"1680";"1680";"-";"1056";"1056";"-";"80";"80";"-";"240";"240";"-";"105";"105";"-";"180";"180";"-";"64";"64";"-";"29";"29";"-";"244";"244";"-";"-";"-";"-";"8";"8";"-";"96";"96";"-";"4";"4";"-";"1";"1";"-";"8";"8";"-";"78";"78";"-";"11";"11";"-";"48";"48";"-"
"2404853";"      Itajá";"72";"72";"-";"10";"10";"-";"42";"42";"-";"16";"16";"-";"16";"16";"-";"18";"18";"-";"18";"18";"-";"1";"1";"-";"60";"60";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"1";"1";"-";"1";"1";"-";"61";"61";"-";"63";"63";"-";"20";"20";"-";"48";"48";"-"
"2406106";"      Jucurutu";"92";"92";"-";"66";"66";"-";"16";"16";"-";"90";"90";"-";"60";"60";"-";"160";"160";"-";"90";"90";"-";"8";"8";"-";"60";"60";"-";"2";"2";"-";"-";"-";"-";"22";"22";"-";"-";"-";"-";"2";"2";"-";"4";"4";"-";"12";"12";"-";"65";"65";"-";"16";"16";"-"
"2409902";"      Pendências";"90";"90";"-";"6";"6";"-";"42";"42";"-";"81";"81";"-";"24";"24";"-";"40";"40";"-";"85";"85";"-";"3";"3";"-";"144";"144";"-";"-";"-";"-";"12";"12";"-";"2";"2";"-";"2";"2";"-";"1";"1";"-";"35";"35";"-";"27";"27";"-";"113";"113";"-";"330";"330";"-"
"2410256";"      Porto do Mangue";"54";"54";"-";"4";"4";"-";"18";"18";"-";"105";"105";"-";"24";"24";"-";"63";"63";"-";"114";"114";"-";"1";"1";"-";"160";"160";"-";"-";"-";"-";"1";"1";"-";"4";"4";"-";"-";"-";"-";"-";"-";"-";"82";"82";"-";"1";"1";"-";"-";"-";"-";"12";"12";"-"
"2412807";"      São Rafael";"54";"54";"-";"5";"5";"-";"6";"6";"-";"29";"29";"-";"5";"5";"-";"12";"12";"-";"29";"29";"-";"0";"0";"-";"40";"40";"-";"-";"-";"-";"-";"-";"-";"17";"17";"-";"-";"-";"-";"...";"...";"...";"17";"17";"-";"12";"12";"-";"125";"125";"-";"60";"60";"-"
"24005";"    Serra de São Miguel";"5821";"5821";"-";"6996";"6996";"-";"3916";"3916";"-";"7067";"7067";"-";"4026";"4026";"-";"7204";"7204";"-";"5988";"5988";"-";"1604";"1604";"-";"4408";"4408";"-";"310";"310";"-";"118";"118";"-";"2284";"2284";"-";"188";"188";"-";"29";"29";"-";"277";"277";"-";"3605";"3605";"-";"1712";"1712";"-";"2570";"2570";"-"
"2400406";"      Água Nova";"272";"272";"-";"191";"191";"-";"88";"88";"-";"224";"224";"-";"182";"182";"-";"336";"336";"-";"280";"280";"-";"85";"85";"-";"91";"91";"-";"-";"-";"-";"1";"1";"-";"70";"70";"-";"4";"4";"-";"-";"-";"-";"80";"80";"-";"90";"90";"-";"4";"4";"-";"50";"50";"-"
"2402907";"      Coronel João Pessoa";"640";"640";"-";"504";"504";"-";"312";"312";"-";"605";"605";"-";"455";"455";"-";"750";"750";"-";"800";"800";"-";"44";"44";"-";"240";"240";"-";"22";"22";"-";"30";"30";"-";"200";"200";"-";"80";"80";"-";"3";"3";"-";"15";"15";"-";"900";"900";"-";"400";"400";"-";"340";"340";"-"
"2403202";"      Doutor Severiano";"425";"425";"-";"1870";"1870";"-";"1468";"1468";"-";"1596";"1596";"-";"576";"576";"-";"560";"560";"-";"650";"650";"-";"18";"18";"-";"547";"547";"-";"64";"64";"-";"35";"35";"-";"232";"232";"-";"20";"20";"-";"4";"4";"-";"6";"6";"-";"400";"400";"-";"800";"800";"-";"700";"700";"-"
"2403301";"      Encanto";"280";"280";"-";"558";"558";"-";"231";"231";"-";"360";"360";"-";"78";"78";"-";"400";"400";"-";"280";"280";"-";"3";"3";"-";"494";"494";"-";"34";"34";"-";"-";"-";"-";"252";"252";"-";"3";"3";"-";"4";"4";"-";"18";"18";"-";"140";"140";"-";"60";"60";"-";"80";"80";"-"
"2407005";"      Luís Gomes";"448";"448";"-";"464";"464";"-";"236";"236";"-";"685";"685";"-";"270";"270";"-";"680";"680";"-";"520";"520";"-";"315";"315";"-";"672";"672";"-";"-";"-";"-";"12";"12";"-";"406";"406";"-";"10";"10";"-";"1";"1";"-";"14";"14";"-";"180";"180";"-";"50";"50";"-";"200";"200";"-"
"2407252";"      Major Sales";"312";"312";"-";"264";"264";"-";"173";"173";"-";"302";"302";"-";"300";"300";"-";"720";"720";"-";"280";"280";"-";"92";"92";"-";"192";"192";"-";"36";"36";"-";"4";"4";"-";"182";"182";"-";"1";"1";"-";"1";"1";"-";"36";"36";"-";"400";"400";"-";"133";"133";"-";"130";"130";"-"
"2410801";"      Riacho de Santana";"440";"440";"-";"328";"328";"-";"136";"136";"-";"390";"390";"-";"200";"200";"-";"768";"768";"-";"298";"298";"-";"90";"90";"-";"174";"174";"-";"5";"5";"-";"3";"3";"-";"222";"222";"-";"30";"30";"-";"3";"3";"-";"8";"8";"-";"170";"170";"-";"55";"55";"-";"90";"90";"-"
"2412500";"      São Miguel";"2700";"2700";"-";"2007";"2007";"-";"1062";"1062";"-";"2500";"2500";"-";"1589";"1589";"-";"2270";"2270";"-";"2160";"2160";"-";"945";"945";"-";"1890";"1890";"-";"135";"135";"-";"25";"25";"-";"434";"434";"-";"40";"40";"-";"8";"8";"-";"60";"60";"-";"1100";"1100";"-";"150";"150";"-";"700";"700";"-"
"2414753";"      Venha-Ver";"304";"304";"-";"810";"810";"-";"210";"210";"-";"405";"405";"-";"376";"376";"-";"720";"720";"-";"720";"720";"-";"12";"12";"-";"108";"108";"-";"14";"14";"-";"8";"8";"-";"286";"286";"-";"-";"-";"-";"5";"5";"-";"40";"40";"-";"225";"225";"-";"60";"60";"-";"280";"280";"-"
"24006";"    Pau dos Ferros";"8221";"8221";"-";"7257";"7257";"-";"2782";"2782";"-";"7587";"7587";"-";"4533";"4533";"-";"8136";"8136";"-";"6905";"6905";"-";"979";"979";"-";"2724";"2724";"-";"213";"213";"-";"473";"473";"-";"2253";"2253";"-";"125";"125";"-";"106";"106";"-";"568";"568";"-";"3001";"3001";"-";"2742";"2742";"-";"2940";"2940";"-"
"2400505";"      Alexandria";"744";"744";"-";"640";"640";"-";"90";"90";"-";"850";"850";"-";"246";"246";"-";"800";"800";"-";"640";"640";"-";"12";"12";"-";"75";"75";"-";"3";"3";"-";"-";"-";"-";"252";"252";"-";"3";"3";"-";"-";"-";"-";"-";"-";"-";"80";"80";"-";"40";"40";"-";"110";"110";"-"
"2403905";"      Francisco Dantas";"289";"289";"-";"306";"306";"-";"147";"147";"-";"252";"252";"-";"304";"304";"-";"320";"320";"-";"256";"256";"-";"1";"1";"-";"88";"88";"-";"12";"12";"-";"3";"3";"-";"120";"120";"-";"-";"-";"-";"3";"3";"-";"10";"10";"-";"81";"81";"-";"190";"190";"-";"160";"160";"-"
"2404903";"      Itaú";"1081";"1081";"-";"792";"792";"-";"334";"334";"-";"1026";"1026";"-";"330";"330";"-";"450";"450";"-";"360";"360";"-";"...";"...";"...";"210";"210";"-";"30";"30";"-";"180";"180";"-";"30";"30";"-";"-";"-";"-";"12";"12";"-";"130";"130";"-";"485";"485";"-";"240";"240";"-";"254";"254";"-"
"2406007";"      José da Penha";"332";"332";"-";"744";"744";"-";"429";"429";"-";"675";"675";"-";"405";"405";"-";"500";"500";"-";"640";"640";"-";"192";"192";"-";"372";"372";"-";"37";"37";"-";"10";"10";"-";"279";"279";"-";"-";"-";"-";"10";"10";"-";"6";"6";"-";"450";"450";"-";"270";"270";"-";"320";"320";"-"
"2407302";"      Marcelino Vieira";"560";"560";"-";"675";"675";"-";"220";"220";"-";"850";"850";"-";"480";"480";"-";"600";"600";"-";"480";"480";"-";"300";"300";"-";"321";"321";"-";"51";"51";"-";"7";"7";"-";"276";"276";"-";"38";"38";"-";"2";"2";"-";"4";"4";"-";"300";"300";"-";"60";"60";"-";"230";"230";"-"
"2408607";"      Paraná";"268";"268";"-";"392";"392";"-";"209";"209";"-";"395";"395";"-";"369";"369";"-";"462";"462";"-";"297";"297";"-";"112";"112";"-";"160";"160";"-";"13";"13";"-";"12";"12";"-";"73";"73";"-";"8";"8";"-";"1";"1";"-";"11";"11";"-";"200";"200";"-";"700";"700";"-";"300";"300";"-"
"2409407";"      Pau dos Ferros";"488";"488";"-";"528";"528";"-";"275";"275";"-";"396";"396";"-";"210";"210";"-";"560";"560";"-";"480";"480";"-";"30";"30";"-";"36";"36";"-";"-";"-";"-";"-";"-";"-";"185";"185";"-";"-";"-";"-";"5";"5";"-";"24";"24";"-";"41";"41";"-";"118";"118";"-";"400";"400";"-"
"2410009";"      Pilões";"560";"560";"-";"569";"569";"-";"174";"174";"-";"536";"536";"-";"306";"306";"-";"1000";"1000";"-";"992";"992";"-";"96";"96";"-";"20";"20";"-";"-";"-";"-";"-";"-";"-";"100";"100";"-";"1";"1";"-";"2";"2";"-";"237";"237";"-";"240";"240";"-";"25";"25";"-";"70";"70";"-"
"2410207";"      Portalegre";"600";"600";"-";"560";"560";"-";"132";"132";"-";"482";"482";"-";"220";"220";"-";"750";"750";"-";"600";"600";"-";"3";"3";"-";"199";"199";"-";"18";"18";"-";"25";"25";"-";"198";"198";"-";"12";"12";"-";"-";"-";"-";"10";"10";"-";"197";"197";"-";"360";"360";"-";"310";"310";"-"
